,Type,Edt Size,Mint Date,Platform,Collection Name,Collaborator/Special Type,Link,Contract Hash,Token Type,TokenID Start,Token ID End,IPFS Image,IPFS Json,Pinned?,Hosting Type
Bryan Brinkman x NFTSEA 2022,Unique,1,6/17/22,BlockParty,,NFTSEA,https://opensea.io/assets/ethereum/0xc84b7bded2ee4595e8aff98bec2d650c97305be1/14,0xc84b7bded2Ee4595E8aFF98bEc2d650c97305bE1,ERC-721,14,14,Arweave,,,Arweave
Pindar Van Arman,Unique,1,7/24/22,Manifold,,Trade,https://opensea.io/assets/ethereum/0x9494fa95d7987718da9ecef224f8520f5fa20fe3/5,0x9494Fa95d7987718da9ecef224f8520F5fA20Fe3,ERC-721,5,5,Arweave,,,Arweave
Traffic Jams,Series,16,7/29/22,Transient Labs,,Collab with Rich Caldwell,https://opensea.io/collection/trafficjams,0x864971035a694F25b9fB54AaB8d5b31CE2C5D68d,ERC-721,1,16,Arweave,,,Arweave
Grumpls,Generative,160,7/30/22,Illuminati,,Goblintown Collab,https://opensea.io/collection/grumpls?search[stringTraits][0][name]=Generative%20Artist&search[stringTraits][0][values][0]=Bryan%20Brinkman&search[sortAscending]=true&search[sortBy]=UNIT_PRICE,0x279c53dF917579bB454B61555982Dac1750187d9,ERC-721,,,,,,IPFS
8liens #2677,Unique,1,8/10/22,8liens,,Collab 1/1,https://opensea.io/assets/ethereum/0x740c178e10662bbb050bde257bfa318defe3cabc/2677,0x740c178e10662bBb050BDE257bFA318dEfE3cabC,ERC-721,2677,2677,Hosted by Platform,,,Platform
Swing (Day),Edition,30,9/15/22,NiftyGateway,,,https://www.niftygateway.com/marketplace/collection/0xa78ddc20e889c89910833d497bcbf1834cf32d08/1?filters[onSale]=true&sortBy=lowest,0xa78ddC20e889C89910833d497bcbf1834CF32d08,ERC-721,1,30,,NG API,,Platform
Swing (Night),Edition,30,9/15/22,NiftyGateway,,,https://www.niftygateway.com/marketplace/collection/0xa78ddc20e889c89910833d497bcbf1834cf32d08/2?filters[onSale]=true&sortBy=lowest,0xa78ddC20e889C89910833d497bcbf1834CF32d08,ERC-721,31,60,,NG API,,Platform
Floor Sweep,Edition,15,9/15/22,NiftyGateway,,,https://www.niftygateway.com/marketplace/collection/0xa78ddc20e889c89910833d497bcbf1834cf32d08/3?filters[onSale]=true&sortBy=lowest,0xa78ddC20e889C89910833d497bcbf1834CF32d08,ERC-721,61,75,,NG API,,Platform
Swing (Dynamic),Edition,6,9/15/22,NiftyGateway,,,https://www.niftygateway.com/marketplace/collection/0x53d18d1e981b92795393d5c415ff2756aaafa856/1?filters[onSale]=true&sortBy=lowest,0x53D18d1e981B92795393D5c415FF2756AAAFA856,ERC-721,1,6,,NG API,,Platform
FlyWheel,Edition,15,9/15/22,NiftyGateway,,,https://www.niftygateway.com/marketplace/collection/0xa78ddc20e889c89910833d497bcbf1834cf32d08/4?filters[onSale]=true&sortBy=lowest,0xa78ddC20e889C89910833d497bcbf1834CF32d08,ERC-721,76,90,,NG API,,Platform
